session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S10700,71,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S8700,59,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S8000,41,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,reference,92,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S5500,14,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S7000,27,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,trening,S3500,11,177700,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S5500,34,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S10700,89,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S3500,21,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S11300,77,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S10000,87,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S7000,63,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S8000,54,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S9300,65,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S8700,51,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S12000,70,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,reference,100,97677,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S12000,73,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S8000,58,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S10700,78,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S7000,52,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S10000,40,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S11300,66,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S3500,28,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S8700,47,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S5500,33,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,S9300,59,69828,
label_test_2,edef14c5-bdac-47a8-9ec3-f9cb98c97b12,hq_label,reference,100,69828,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S7000,41,168445,
label_test_2,f4d48321-a107-494b-b23e-168d9fa3ab16,trening,S8000,58,168445,
